name,gb,gddr,price,link
MSI GeForce RTX 3080 GAMING Z TRIO LHR 12GB GDDR6X,12,GDDR6X,1369.9,https://www.pccomponentes.com/msi-geforce-rtx-3080-gaming-z-trio-lhr-12gb-gddr6x
PNY GeForce RTX 3070 Ti XLR8 Gaming REVEL Edition 8GB GDDR6X,8,GDDR6X,854.64,https://www.pccomponentes.com/pny-geforce-rtx-3070-ti-xlr8-gaming-revel-edition-8gb-gddr6x
XFX Speedster SWFT 210 AMD Radeon RX 6600 XT 8GB GDDR6,8,GDDR6,488.89,https://www.pccomponentes.com/xfx-speedster-swft-210-amd-radeon-rx-6600-xt-8gb-gddr6
AMD Radeon RX 6600 XT Challenger D OC 8GB GDDR6,8,GDDR6,513.34,https://www.pccomponentes.com/amd-radeon-rx-6600-xt-challenger-d-oc-8gb-gddr6
MSI GeForce RTX 3050 GAMING X 8GB GDDR6,8,GDDR6,424.08,https://www.pccomponentes.com/msi-geforce-rtx-3050-gaming-x-8gb-gddr6
Asus Dual GeForce RTX 2060 EVO OC Edition 12GB GDDR6,12,GDDR6,519.01,https://www.pccomponentes.com/asus-dual-geforce-rtx-2060-evo-oc-edition-12gb-gddr6
Gigabyte GeForce RTX 2060 D6 6GB GDDR6 Rev 2.0,6,GDDR6,454.9,https://www.pccomponentes.com/gigabyte-geforce-rtx-2060-d6-6gb-gddr6-rev-20
Zotac GAMING GeForce GTX 1650 OC 4GB GDDR6,4,GDDR6,241.35,https://www.pccomponentes.com/zotac-gaming-geforce-gtx-1650-oc-4gb-gddr6
Asus GeForce GTX 1660 SUPER OC Dual 6GB GDDR6,6,GDDR6,379.9,https://www.pccomponentes.com/asus-geforce-gtx-1660-super-oc-dual-6gb-gddr6
XFX Speedster QICK 308 AMD Radeon RX 6600 XT Black 8GB GDDR6,8,GDDR6,517.59,https://www.pccomponentes.com/xfx-speedster-qick-308-amd-radeon-rx-6600-xt-black-8gb-gddr6
